time flux flux_rms
53859.90 1.0436 0.0043
53859.92 1.0338 0.0050
53860.00 1.0389 0.0042
53860.02 1.0242 0.0042
53860.04 1.0230 0.0053
53861.72 1.0660 0.0077
53861.74 1.0721 0.0068
53861.76 1.0690 0.0050
53861.78 1.0547 0.0052
53861.80 1.0719 0.0044
53861.82 1.0703 0.0051
53861.84 1.0743 0.0046
53861.86 1.0732 0.0052
53861.88 1.0670 0.0046
53861.90 1.0759 0.0055
53861.92 1.0679 0.0050
53861.94 1.0706 0.0066
53861.96 1.0691 0.0064
53861.98 1.0806 0.0075
53862.02 1.0655 0.0047
53862.06 1.0739 0.0064
53862.08 1.0961 0.0047
53862.72 1.0679 0.0083
53862.74 1.0614 0.0065
53862.76 1.0639 0.0081
53862.78 1.0521 0.0067
53862.80 1.0569 0.0075
53862.82 1.0423 0.0073
53862.84 1.0589 0.0072
53862.86 1.0415 0.0071
53862.88 1.0398 0.0085
53862.90 1.0280 0.0069
53862.92 1.0325 0.0086
53863.72 0.9661 0.0088
53863.74 0.9475 0.0080
53863.76 0.9484 0.0051
53863.78 0.9480 0.0057
53863.80 0.9439 0.0051
53863.82 0.9475 0.0059
53863.84 0.9368 0.0054
53863.86 0.9451 0.0053
53863.88 0.9499 0.0053
53863.90 0.9417 0.0053
53863.92 0.9299 0.0056
53863.94 0.9428 0.0086
53863.98 0.9245 0.0070
53864.00 0.9382 0.0078
53864.02 0.9427 0.0066
53864.04 0.9300 0.0068
53864.06 0.9365 0.0065
53864.08 0.9260 0.0045
53864.76 1.0417 0.0075
53864.78 1.0379 0.0066
53864.80 1.0407 0.0071
53864.82 1.0497 0.0075
53864.84 1.0250 0.0075
53864.86 1.0380 0.0074
53864.88 1.0384 0.0069
53864.90 1.0416 0.0070
53864.92 1.0514 0.0063
53864.94 1.0523 0.0070
53864.96 1.0692 0.0071
53864.98 1.0583 0.0072
53865.00 1.0502 0.0070
53865.02 1.0556 0.0085
53865.04 1.0482 0.0116
53871.72 1.0536 0.0057
53871.76 1.0375 0.0108
53879.72 1.0124 0.0055
53879.74 1.0154 0.0053
53879.76 1.0153 0.0048
53879.78 1.0026 0.0055
53879.80 0.9972 0.0050
53879.82 0.9982 0.0048
53879.84 0.9811 0.0047
53879.86 0.9612 0.0047
53879.88 0.9427 0.0056
53880.70 1.0422 0.0079
53880.72 1.0041 0.0036
53880.74 1.0142 0.0030
53880.76 1.0131 0.0034
53880.78 1.0148 0.0034
53880.80 1.0180 0.0035
53880.82 1.0171 0.0038
53880.84 1.0164 0.0034
53880.86 1.0181 0.0038
53880.90 0.9980 0.0052
53880.92 1.0030 0.0044
53880.94 0.9993 0.0060
53880.96 0.9838 0.0046
53880.98 0.9844 0.0054
53881.00 1.0063 0.0052
53881.02 0.9966 0.0054
53881.04 0.9815 0.0067
53881.70 1.0364 0.0074
53881.72 1.0213 0.0050
53881.74 1.0238 0.0090
53885.74 1.0496 0.0032
53885.76 1.0600 0.0032
53885.78 1.0538 0.0031
53885.80 1.0673 0.0049
53885.82 1.0550 0.0046
53885.84 1.0226 0.0045
53885.86 0.9996 0.0054
53885.92 1.0377 0.0041
53885.94 1.0268 0.0042
53885.96 1.0304 0.0043
53885.98 1.0365 0.0044
53886.00 1.0336 0.0047
53886.02 1.0226 0.0048
53886.70 0.9869 0.0075
53886.72 0.9968 0.0034
53886.74 0.9831 0.0036
53886.76 0.9981 0.0042
53886.78 0.9659 0.0033
53886.80 0.9588 0.0033
53886.82 0.9633 0.0035
53886.84 0.9713 0.0034
53886.86 0.9566 0.0034
53886.88 0.9629 0.0051
53886.90 0.9610 0.0042
53886.92 0.9650 0.0041
53886.94 0.9615 0.0041
53886.96 0.9536 0.0042
53886.98 0.9679 0.0047
53887.00 0.9579 0.0069
53887.02 0.9709 0.0046
53887.72 1.0098 0.0031
53887.74 1.0117 0.0037
53887.76 1.0089 0.0040
53887.78 1.0129 0.0036
53887.80 1.0088 0.0041
53887.82 1.0087 0.0044
53887.84 1.0174 0.0053
53887.86 1.0032 0.0044
53887.88 0.9926 0.0086
53887.90 1.0121 0.0081
53889.72 1.0184 0.0064
53889.74 0.9885 0.0050
53889.76 0.9810 0.0044
53889.78 0.9626 0.0042
53889.80 0.9681 0.0043
53889.82 0.9637 0.0059
53889.84 0.9510 0.0040
53889.86 0.9457 0.0060
53889.88 0.9287 0.0060
53889.90 0.9212 0.0055
53889.92 0.9477 0.0054
53889.94 0.9697 0.0052
53889.96 0.9587 0.0051
53889.98 0.9850 0.0052
53890.00 0.9902 0.0048
53890.70 1.0001 0.0089
53890.72 1.0023 0.0041
53890.74 0.9733 0.0055
53890.76 0.9932 0.0048
53890.78 0.9886 0.0050
53890.80 0.9832 0.0049
53890.82 0.9931 0.0052
53890.84 1.0095 0.0073
53890.86 1.0006 0.0062
53890.88 0.9919 0.0077
53890.90 0.9989 0.0088
53890.92 0.9905 0.0068
53890.94 0.9996 0.0068
53890.96 0.9987 0.0076
53890.98 1.0125 0.0060
53891.00 1.0173 0.0082
53891.02 1.0331 0.0078
53891.70 1.0824 0.0106
53891.72 1.0905 0.0049
53891.74 1.1235 0.0066
53891.76 1.0963 0.0057
53891.78 1.0776 0.0054
53891.80 1.0791 0.0053
53891.82 1.0864 0.0054
53891.84 1.0798 0.0063
53891.86 1.0713 0.0070
53891.88 1.0660 0.0070
53891.90 1.0729 0.0072
53891.92 1.0821 0.0073
53891.94 1.0574 0.0078
53891.96 1.0608 0.0076
53891.98 1.0546 0.0073
53892.00 1.0669 0.0066
53892.70 0.9709 0.0103
53892.72 0.9789 0.0057
53892.74 0.9819 0.0072
53892.76 0.9598 0.0062
53892.78 0.9673 0.0077
53892.80 0.9709 0.0071
53892.82 0.9530 0.0067
53892.84 0.9559 0.0055
53892.86 0.9599 0.0067
53892.88 0.9470 0.0061
53892.90 0.9456 0.0065
53892.92 0.9299 0.0074
53892.94 0.9566 0.0070
53892.96 0.9408 0.0071
53892.98 0.9357 0.0084
53893.00 0.9384 0.0086
53893.02 0.9313 0.0106
53901.70 1.0700 0.0070
53901.72 1.0491 0.0033
53901.74 1.0475 0.0040
53901.76 1.0405 0.0046
53901.78 1.0431 0.0046
53901.80 1.0344 0.0056
53901.88 1.0146 0.0082
53901.90 1.0005 0.0059
53901.92 1.0128 0.0065
53901.94 1.0609 0.0062
53901.96 1.0338 0.0062
53902.96 0.9432 0.0056
53902.98 0.9555 0.0061
53903.72 1.0513 0.0033
53903.74 1.0581 0.0034
53903.76 1.0662 0.0033
53903.78 1.0719 0.0040
53903.80 1.0691 0.0029
53903.82 1.0645 0.0045
53903.84 1.0579 0.0049
53903.86 1.0706 0.0041
53903.88 1.0629 0.0049
53903.90 1.0639 0.0042
53903.92 1.1164 0.0064
53903.94 1.1028 0.0059
53903.96 1.1135 0.0062
53903.98 1.1201 0.0089
53904.72 1.0622 0.0034
53904.74 1.0641 0.0035
53904.76 1.0818 0.0049
53904.78 1.0605 0.0049
53904.86 1.0422 0.0045
53904.88 1.0318 0.0041
53904.90 1.0325 0.0041
53904.92 1.0250 0.0041
53904.94 1.0398 0.0042
53904.96 1.0323 0.0049
53905.70 0.9230 0.0057
53905.72 0.9382 0.0030
53905.74 0.9409 0.0035
53905.76 0.9338 0.0029
53905.78 0.9270 0.0030
53905.80 0.9238 0.0032
53905.82 0.9228 0.0041
53905.84 0.9222 0.0037
53905.86 0.9235 0.0037
53905.88 0.9250 0.0037
53905.90 0.9321 0.0039
53905.92 0.9349 0.0039
53905.94 0.9339 0.0040
53905.96 0.9319 0.0041
53905.98 0.9336 0.0052
53906.70 1.0188 0.0063
53906.72 1.0286 0.0033
53906.74 1.0161 0.0037
53906.76 1.0349 0.0032
53906.78 1.0393 0.0045
53906.80 1.0390 0.0041
53906.84 0.8517 0.0097
53906.86 0.6768 0.0050
53906.88 0.8627 0.0084
53906.90 1.0349 0.0089
53906.92 0.7511 0.0081
53906.94 0.6416 0.0040
53906.96 1.0615 0.0042
53908.70 0.9375 0.0048
53908.72 0.9818 0.0029
53908.74 1.0630 0.0035
53908.76 0.9489 0.0039
53908.78 0.9508 0.0039
53908.80 1.0569 0.0043
53908.82 1.0915 0.0075
53908.88 0.5370 0.0118
53908.92 0.6313 0.0073
53909.70 1.0047 0.0044
53909.72 1.0118 0.0028
53909.74 1.0080 0.0027
53909.76 1.0083 0.0026
53909.78 0.9981 0.0025
53909.80 0.9801 0.0043
53909.84 1.0258 0.0047
53909.88 1.0302 0.0043
53909.90 1.0413 0.0045
53909.92 1.0366 0.0045
53909.94 1.0294 0.0047
53909.96 1.0335 0.0060
53910.70 1.0814 0.0049
53910.72 1.0864 0.0029
53910.74 1.0907 0.0026
53910.76 1.0970 0.0027
53910.78 1.0846 0.0028
53910.80 1.0807 0.0037
53910.82 1.0729 0.0043
53910.84 1.0788 0.0037
53910.86 1.0737 0.0052
53910.88 1.0815 0.0038
53910.90 1.0925 0.0054
53910.92 1.0790 0.0044
53910.94 1.0687 0.0041
53912.70 0.9936 0.0051
53912.72 0.9901 0.0029
53912.74 0.9901 0.0027
53912.76 0.9899 0.0052
53915.70 0.9733 0.0048
53915.72 0.9789 0.0029
53915.74 0.9927 0.0029
53915.76 0.9999 0.0048
53915.88 0.9850 0.0042
53915.90 1.0023 0.0044
53915.92 1.0142 0.0046
53915.94 1.0172 0.0052
53916.70 1.0755 0.0054
53916.72 1.0759 0.0032
53916.74 1.0834 0.0031
53916.76 1.0764 0.0031
53916.78 1.0701 0.0036
53916.80 1.0615 0.0041
53916.82 1.0686 0.0046
53916.84 1.0662 0.0045
53916.86 1.0914 0.0045
53916.88 1.0775 0.0046
53916.90 1.0891 0.0048
53916.92 1.0848 0.0049
53916.94 1.0762 0.0054
53917.70 1.0037 0.0045
53917.72 1.0051 0.0029
53917.74 0.9965 0.0027
53917.76 0.9862 0.0027
53917.78 0.9701 0.0029
53917.80 0.9846 0.0039
53917.82 0.9917 0.0044
53917.84 1.0027 0.0043
53917.86 0.9909 0.0042
53917.88 0.9941 0.0057
53917.90 0.9891 0.0045
53917.92 0.9742 0.0046
53918.70 0.9598 0.0051
53918.72 0.9619 0.0029
53918.74 0.9625 0.0029
53918.76 0.9753 0.0029
53918.78 0.9516 0.0035
53918.80 0.9921 0.0044
53918.82 0.9744 0.0049
53918.84 0.9614 0.0056
53918.86 0.9757 0.0049
53918.88 0.9707 0.0057
53918.90 0.9928 0.0057
53918.92 0.9914 0.0052
53919.70 1.0549 0.0061
53919.72 1.0532 0.0032
53919.74 1.0557 0.0032
53919.76 1.0567 0.0031
53919.78 1.0380 0.0042
53919.80 1.0444 0.0050
53919.82 1.0421 0.0054
53919.84 1.0603 0.0055
53919.86 1.0665 0.0065
53919.88 1.0671 0.0066
53919.90 1.0500 0.0067
53919.92 1.0576 0.0066
53920.72 1.0140 0.0099
53920.74 1.0173 0.0112
53925.74 1.0121 0.0085
53925.76 1.0129 0.0084
53926.88 1.0327 0.0116
53926.90 1.0258 0.0116
53927.70 0.9847 0.0083
53927.72 0.9828 0.0063
53927.74 1.0012 0.0058
53927.76 1.0221 0.0089
53927.80 0.9952 0.0101
53927.82 0.9869 0.0100
53927.84 1.0091 0.0102
53927.86 0.9686 0.0099
53927.88 1.0112 0.0112
53927.90 0.9917 0.0120
53933.82 1.0302 0.0049
53933.84 1.0223 0.0041
53933.86 1.0255 0.0046
53933.88 1.0261 0.0041
53934.72 1.0075 0.0025
53934.74 0.9973 0.0026
53934.76 1.0101 0.0031
53934.78 0.9996 0.0038
53935.72 0.9932 0.0024
53935.74 1.0016 0.0025
53935.76 1.0011 0.0032
53935.78 1.0006 0.0032
53935.80 0.9997 0.0036
53935.82 0.9918 0.0036
53935.84 1.0025 0.0043
53935.86 1.0130 0.0044
53935.88 1.0181 0.0042
53941.72 0.9659 0.0026
53941.74 0.9555 0.0029
53941.76 0.9508 0.0033
53941.78 0.9574 0.0034
53941.80 0.9610 0.0039
53941.82 0.9732 0.0038
53941.84 0.9685 0.0057
53941.86 0.9662 0.0044
53942.72 1.0535 0.0027
53942.74 1.0403 0.0029
53942.76 1.0540 0.0035
53942.78 1.0549 0.0035
53942.80 1.0447 0.0037
53942.82 1.0306 0.0044
53942.84 1.0547 0.0046
53942.86 1.0558 0.0048
53943.72 1.0644 0.0115
53943.78 1.0270 0.0105
53943.80 1.0361 0.0070
53943.82 1.0390 0.0063
53946.72 1.0639 0.0038
53946.74 1.0594 0.0044
53946.76 1.0486 0.0049
53946.78 1.0498 0.0050
53946.80 1.0476 0.0062
53946.82 1.0443 0.0062
54131.98 0.9980 0.0098
54132.00 1.0024 0.0079
54132.02 1.0366 0.0073
54132.04 1.0073 0.0060
54132.06 1.0112 0.0056
54132.08 1.0205 0.0068
54132.10 1.0186 0.0049
54132.12 1.0040 0.0062
54133.98 1.0031 0.0090
54134.00 1.0259 0.0084
54134.02 1.0108 0.0079
54134.04 0.9898 0.0067
54134.06 0.9998 0.0064
54134.08 0.9901 0.0083
54134.10 0.9979 0.0072
54134.12 1.0025 0.0066
54135.06 1.0113 0.0084
54135.96 1.0206 0.0112
54135.98 0.9928 0.0082
54136.00 1.0034 0.0077
54136.02 1.0171 0.0074
54136.04 1.0104 0.0063
54136.06 1.0103 0.0061
54136.96 1.0173 0.0070
54136.98 0.9974 0.0063
54137.00 0.9990 0.0057
54137.02 0.9990 0.0044
54137.04 0.9985 0.0043
54137.06 1.0000 0.0047
54137.08 0.9862 0.0042
54137.10 0.9929 0.0047
54137.12 0.9930 0.0042
54144.94 1.0055 0.0037
54144.96 1.0101 0.0037
54144.98 1.0110 0.0031
54145.00 1.0034 0.0027
54145.02 1.0042 0.0027
54145.04 1.0085 0.0031
54145.06 1.0017 0.0027
54145.08 1.0058 0.0030
54145.10 1.0239 0.0061
54147.92 1.0281 0.0049
54147.94 1.0187 0.0030
54147.96 1.0212 0.0034
54147.98 1.0176 0.0030
54148.00 1.0123 0.0034
54148.02 1.0098 0.0029
54148.04 1.0208 0.0029
54148.06 1.0211 0.0029
54148.08 1.0129 0.0029
54148.10 1.0154 0.0057
54150.92 1.0284 0.0038
54150.94 1.0228 0.0037
54150.96 1.0225 0.0031
54150.98 1.0243 0.0036
54151.00 1.0249 0.0031
54151.02 1.0264 0.0030
54151.04 1.0259 0.0030
54151.06 1.0254 0.0035
54151.08 1.0220 0.0030
54151.10 1.0279 0.0042
54151.12 1.0354 0.0030
54151.14 1.0333 0.0044
54151.92 1.0357 0.0037
54151.94 1.0227 0.0031
54151.96 1.0352 0.0036
54151.98 1.0365 0.0030
54152.00 1.0347 0.0029
54152.02 1.0288 0.0033
54152.04 1.0328 0.0029
54152.06 1.0338 0.0029
54152.08 1.0312 0.0029
54152.10 1.0415 0.0042
54152.12 1.0409 0.0030
54152.14 1.0428 0.0046
54152.90 1.0442 0.0060
54152.92 1.0247 0.0036
54152.94 1.0080 0.0032
54152.96 1.0108 0.0034
54152.98 1.0221 0.0029
54153.00 1.0168 0.0029
54153.02 1.0299 0.0030
54153.04 1.0307 0.0028
54153.06 1.0160 0.0030
54153.08 1.0054 0.0028
54153.10 1.0014 0.0039
